user_id,product_id,label,prediction,probability,product_name
18,36216,1.0,1.0,"[0.1706304784316891,0.8293695215683109]",Lime Italian Sparkling Mineral Water
33,37131,1.0,1.0,"[0.3301793427552255,0.6698206572447745]",Tomato Yellow Cherry
33,8501,1.0,1.0,"[0.3301793427552255,0.6698206572447745]",Breakfast Blend Medium Keurig Brewed K-Cups Ground Coffee
46,32857,0.0,1.0,"[0.49746974392798443,0.5025302560720155]",Organic Chunky Tomato Bisque Soup
58,33219,0.0,1.0,"[0.34290585316406613,0.6570941468359339]",Spanish Style Ready Rice
68,22260,0.0,1.0,"[0.49746974392798443,0.5025302560720155]",Organic Rolled Oats
68,5991,1.0,1.0,"[0.49746974392798443,0.5025302560720155]",Bok Choy
90,19204,1.0,1.0,"[0.059649144685020264,0.9403508553149797]",Organic Heritage Flakes Cereal
90,19204,1.0,1.0,"[0.059649144685020264,0.9403508553149797]",Organic Heritage Flakes Cereal
90,19204,1.0,1.0,"[0.059649144685020264,0.9403508553149797]",Organic Heritage Flakes Cereal
90,1782,1.0,1.0,"[0.059649144685020264,0.9403508553149797]",Dark & Mint Filled Chocolate Squares
90,47144,1.0,1.0,"[0.06753953222380561,0.9324604677761944]",Unsweetened Original Almond Breeze Almond Milk
90,12302,1.0,1.0,"[0.07360440538823405,0.9263955946117659]","Sparkling Water, Natural Mango Essenced"
90,13740,1.0,1.0,"[0.10214481830682604,0.8978551816931739]",Organic Summer Strawberry Bunny Fruit Snacks
90,14761,1.0,1.0,"[0.15415966228335462,0.8458403377166454]",Honey Almond Flax Chewy Granola Bars
90,49628,0.0,1.0,"[0.2029301180316872,0.7970698819683129]",Yoghurt Blueberry
90,35898,0.0,1.0,"[0.3474397975196591,0.652560202480341]",Original Hot Sauce
123,35561,0.0,1.0,"[0.169862586810972,0.830137413189028]",Organic Tortilla Chips
131,36940,1.0,1.0,"[0.2513281535533323,0.7486718464466677]",Chicken Culinary Stock
131,11913,1.0,1.0,"[0.2513281535533323,0.7486718464466677]",Shelled Pistachios
242,9076,1.0,1.0,"[0.12556135369267055,0.8744386463073295]",Blueberries
242,4920,1.0,1.0,"[0.2490591967622722,0.7509408032377278]",Seedless Red Grapes
242,19213,1.0,1.0,"[0.34290585316406613,0.6570941468359339]",Turkey Pot Pie
242,44070,1.0,1.0,"[0.4996143967629873,0.5003856032370126]",8 Inch Lemon Meringue Pie
248,30391,1.0,1.0,"[0.059649144685020264,0.9403508553149797]",Organic Cucumber
248,47209,1.0,1.0,"[0.06753953222380561,0.9324604677761944]",Organic Hass Avocado
248,27881,1.0,1.0,"[0.07996662056204902,0.9200333794379509]","Olives, Organic, Kalamata, Pitted"
248,8518,1.0,1.0,"[0.08309971289141646,0.9169002871085835]",Organic Red Onion
248,30776,1.0,1.0,"[0.12544581916834854,0.8745541808316515]",Organic Raw Kombucha Gingerade
248,23986,1.0,1.0,"[0.3334048630261434,0.6665951369738565]",Grassfed Whole Milk Plain Yogurt
248,17946,1.0,1.0,"[0.49855135241856924,0.5014486475814308]",Organic Sliced Kalamata Olives
337,45066,1.0,1.0,"[0.16900489894629842,0.8309951010537016]",Honeycrisp Apple
337,47977,1.0,1.0,"[0.3306285012257618,0.6693714987742382]",Grapefruit Sparkling Water
369,8571,1.0,1.0,"[0.12491885695648206,0.8750811430435179]",Baby Cucumbers
369,22046,1.0,1.0,"[0.19970485070942243,0.8002951492905775]",Frozen Whole Strawberries
369,29223,1.0,1.0,"[0.49542185028297486,0.5045781497170252]",Golden Pineapple
369,13966,1.0,1.0,"[0.49746974392798443,0.5025302560720155]",Chicken Pot Pie
373,25720,1.0,1.0,"[0.07360440538823405,0.9263955946117659]",Organic Sunchoke
373,31717,1.0,1.0,"[0.10551732924124883,0.8944826707587512]",Organic Cilantro
373,17948,1.0,1.0,"[0.12556135369267055,0.8744386463073295]",Frozen Organic Wild Blueberries
373,43014,1.0,1.0,"[0.20039722328697637,0.7996027767130236]",Sliced Baby Bella Mushrooms
373,32465,0.0,1.0,"[0.19934125222129842,0.8006587477787016]",Sliced White Mushrooms
373,2344,0.0,1.0,"[0.49855135241856924,0.5014486475814308]",Organic SprouTofu Savory Baked Tofu
373,22935,0.0,1.0,"[0.4961367031241091,0.5038632968758909]",Organic Yellow Onion
422,1463,1.0,1.0,"[0.08309971289141646,0.9169002871085835]",Organic Milk
422,47492,1.0,1.0,"[0.1236211571975141,0.8763788428024859]",Organic Berry Blend
422,10915,1.0,1.0,"[0.1236211571975141,0.8763788428024859]",Organic Short Brown Sprouted Rice
422,27966,1.0,1.0,"[0.15635465740472632,0.8436453425952737]",Organic Raspberries
422,31391,0.0,1.0,"[0.49855135241856924,0.5014486475814308]",Gourmet Delicate Avocado Oil
422,21903,1.0,1.0,"[0.4940889016585446,0.5059110983414554]",Organic Baby Spinach
567,27845,1.0,1.0,"[0.10551732924124883,0.8944826707587512]",Organic Whole Milk
567,8277,1.0,1.0,"[0.2490591967622722,0.7509408032377278]",Apple Honeycrisp Organic
567,17526,1.0,1.0,"[0.49746974392798443,0.5025302560720155]",70% Dark Chocolate Salted Almond Bar
622,2120,1.0,1.0,"[0.49542185028297486,0.5045781497170252]",Sauvignon Blanc
655,4210,1.0,1.0,"[0.059649144685020264,0.9403508553149797]",Whole Milk
655,26283,1.0,1.0,"[0.07360440538823405,0.9263955946117659]",White Corn
655,16797,1.0,1.0,"[0.10214481830682604,0.8978551816931739]",Strawberries
655,16797,1.0,1.0,"[0.10214481830682604,0.8978551816931739]",Strawberries
655,8518,1.0,1.0,"[0.12556135369267055,0.8744386463073295]",Organic Red Onion
655,10292,1.0,1.0,"[0.15500764031082595,0.8449923596891741]",Family Size Shells & White Cheddar Macaroni & Cheese
655,23233,1.0,1.0,"[0.169862586810972,0.830137413189028]",California Sourdough Bread
655,27663,1.0,1.0,"[0.34388136876632464,0.6561186312336753]",GOLEAN Crunch! Cereal
655,7751,0.0,1.0,"[0.34388136876632464,0.6561186312336753]",Tomato Ketchup
655,2272,0.0,1.0,"[0.34388136876632464,0.6561186312336753]",Peppermint
655,16616,0.0,1.0,"[0.34388136876632464,0.6561186312336753]",Organic Sliced White Mushrooms
655,5020,0.0,1.0,"[0.49855135241856924,0.5014486475814308]",Organic  Sweet & Salty Peanut Pretzel Granola Bars
