user_id,days_since_last_order,recency_days,total_orders,avg_days_between_orders,total_items_ever_ordered,avg_basket_size,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_segment,total_products_ordered,unique_products_ordered,unique_aisles_shopped,unique_departments_shopped,product_diversity_score,total_reorders,total_items,user_reorder_ratio,favorite_department,favorite_aisle,avg_order_dow,avg_order_hour,preferred_order_day_type,preferred_order_time,gold_processing_time
18,7.0,7.0,7,5.0,50,7.142857142857143,5,2,2,PROMISING,50,35,23,10,0.7,15,50,0.3,produce,packaged vegetables fruits,3.0,15.285714285714286,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
33,19.0,19.0,4,19.0,53,17.666666666666668,3,1,4,POTENTIAL,53,34,22,9,0.6415094339622641,19,53,0.3584905660377358,dairy eggs,packaged cheese,3.0,16.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
46,11.0,11.0,20,16.5,163,8.15,4,3,2,LOYAL,163,62,32,14,0.3803680981595092,101,163,0.6196319018404908,produce,fresh fruits,0.95,14.4,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
58,7.0,7.0,16,8.5625,97,6.466666666666667,5,3,2,LOYAL,97,65,38,15,0.6701030927835051,32,97,0.32989690721649484,canned goods,fresh vegetables,2.5,12.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
68,30.0,30.0,7,24.428571428571427,70,11.666666666666666,2,2,3,HIBERNATING,70,51,27,11,0.7285714285714285,19,70,0.2714285714285714,produce,fresh vegetables,3.7142857142857144,13.428571428571429,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
90,2.0,2.0,72,3.4027777777777777,675,9.375,5,5,2,LOYAL,675,77,17,7,0.11407407407407408,598,675,0.8859259259259259,snacks,energy granola bars,3.5555555555555554,12.083333333333334,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
106,8.0,8.0,4,7.0,58,14.5,4,1,3,PROMISING,58,44,25,10,0.7586206896551724,14,58,0.2413793103448276,produce,fresh fruits,4.25,14.0,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
116,4.0,4.0,7,10.714285714285714,30,4.285714285714286,5,2,1,PROMISING,30,24,15,10,0.8,6,30,0.2,household,paper goods,3.0,11.0,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
119,30.0,30.0,4,13.75,37,9.25,2,1,2,HIBERNATING,37,24,17,11,0.6486486486486487,13,37,0.35135135135135137,produce,fresh fruits,2.25,12.75,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
123,0.0,0.0,11,18.545454545454547,74,6.7272727272727275,5,2,2,PROMISING,74,32,26,10,0.43243243243243246,42,74,0.5675675675675675,dairy eggs,packaged produce,1.5454545454545454,15.0,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
131,18.0,18.0,10,17.4,67,6.7,3,2,2,POTENTIAL,67,28,17,9,0.417910447761194,39,67,0.582089552238806,frozen,soup broth bouillon,3.1,10.3,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
158,30.0,30.0,6,14.5,31,6.2,2,2,2,HIBERNATING,31,27,18,9,0.8709677419354839,4,31,0.12903225806451613,personal care,soap,2.0,13.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
170,30.0,30.0,4,22.5,8,2.6666666666666665,2,1,1,HIBERNATING,8,7,6,3,0.875,1,8,0.125,beverages,energy sports drinks,2.0,13.0,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
201,23.0,23.0,8,8.625,56,7.0,2,2,2,HIBERNATING,56,38,21,9,0.6785714285714286,18,56,0.32142857142857145,dairy eggs,fresh vegetables,2.625,11.0,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
215,29.0,29.0,6,21.833333333333332,45,7.5,2,2,2,HIBERNATING,45,41,28,11,0.9111111111111111,4,45,0.08888888888888889,produce,fresh vegetables,3.0,9.166666666666666,WEEKDAY,MORNING,2026-02-04 05:32:37.114
242,7.0,7.0,17,11.647058823529411,139,8.176470588235293,5,3,2,LOYAL,139,74,39,15,0.5323741007194245,65,139,0.4676258992805755,dairy eggs,fresh fruits,3.4705882352941178,14.529411764705882,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
248,20.0,20.0,59,6.067796610169491,392,6.758620689655173,3,5,2,POTENTIAL,392,79,23,9,0.20153061224489796,313,392,0.798469387755102,produce,fresh vegetables,2.389830508474576,13.88135593220339,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
303,13.0,13.0,9,12.777777777777779,13,1.625,4,2,1,PROMISING,13,10,10,8,0.7692307692307693,3,13,0.23076923076923078,personal care,digestion,2.5555555555555554,11.88888888888889,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
315,24.0,24.0,5,11.8,47,9.4,2,2,2,HIBERNATING,47,31,18,12,0.6595744680851063,16,47,0.3404255319148936,produce,fresh fruits,2.0,17.8,WEEKDAY,EVENING,2026-02-04 05:32:37.114
317,6.0,6.0,5,11.8,43,8.6,5,2,2,PROMISING,43,39,28,13,0.9069767441860465,4,43,0.09302325581395349,frozen,ice cream ice,2.4,14.8,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
337,30.0,30.0,13,19.692307692307693,273,21.0,2,2,5,HIBERNATING,273,156,51,15,0.5714285714285714,117,273,0.42857142857142855,dairy eggs,yogurt,1.4615384615384615,19.846153846153847,WEEKDAY,EVENING,2026-02-04 05:32:37.114
369,13.0,13.0,17,14.588235294117647,121,7.5625,4,3,2,LOYAL,121,56,22,10,0.4628099173553719,65,121,0.5371900826446281,produce,packaged produce,3.0588235294117645,16.11764705882353,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
373,6.0,6.0,59,6.033898305084746,568,9.793103448275861,5,5,2,LOYAL,568,173,38,12,0.3045774647887324,395,568,0.6954225352112676,produce,fresh vegetables,3.152542372881356,14.864406779661017,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
422,30.0,30.0,28,8.964285714285714,270,10.0,2,3,3,NEED_ATTENTION,270,75,37,16,0.2777777777777778,195,270,0.7222222222222222,produce,packaged vegetables fruits,3.0714285714285716,12.892857142857142,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
